city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
London,UberSelect,rider_canceled,2017-07-18 01:53:00,2017-07-18 02:21:00,51.5194,-0.127,British Museum,2017-07-18 02:46:00,51.5136,-0.159,Hyde Park - Speaker's Corner,11.91,GBP,22.87
San Francisco,UberSUV,completed,2017-04-02 12:40:00,2017-04-02 13:08:00,37.7857,-122.4011,SFMOMA,2017-04-02 14:01:00,37.8024,-122.4483,Palace of Fine Arts,17.48,USD,38.96
New York,UberPool,unfulfilled,2017-08-02 16:42:00,2017-08-02 17:11:00,40.7506,-73.9935,Penn Station,2017-08-02 17:48:00,40.774,-73.97,Central Park - Bethesda Terrace,13.66,USD,25.49
Sydney,UberBlack,completed,2017-04-28 08:03:00,2017-04-28 08:25:00,-33.8908,151.2743,Bondi Beach,2017-04-28 08:35:00,-33.8523,151.2108,Sydney Harbour Bridge Pylon Lookout,16.84,AUD,41.45
Sydney,UberSelect,completed,2017-04-01 19:00:00,2017-04-01 19:09:00,-33.8523,151.2108,Sydney Harbour Bridge Pylon Lookout,2017-04-01 19:54:00,-33.8568,151.2153,Sydney Opera House,17.3,AUD,42.46
San Francisco,UberPet,completed,2017-07-18 14:28:00,2017-07-18 14:54:00,37.8014,-122.3977,Exploratorium (Pier 15),2017-07-18 15:39:00,37.7699,-122.4661,California Academy of Sciences,4.06,USD,12.12
Sydney,UberComfort,completed,2017-01-21 10:17:00,2017-01-21 10:44:00,-33.883,151.207,Central Station,2017-01-21 11:22:00,-33.8568,151.2153,Sydney Opera House,12.07,AUD,30.95
Manchester,UberX,rider_canceled,2017-02-10 08:30:00,2017-02-10 08:33:00,53.4831,-2.2004,Etihad Stadium,2017-02-10 08:54:00,53.4774,-2.2303,Manchester Piccadilly,14.93,GBP,27.39
San Francisco,UberComfort,rider_canceled,2017-12-17 21:55:00,2017-12-17 22:06:00,37.81972,-122.47861,Golden Gate Bridge,2017-12-17 22:16:00,37.7802,-122.512,Land's End Lookout,11.13,USD,21.7
San Francisco,UberXL,completed,2017-05-18 18:39:00,2017-05-18 18:56:00,37.8086,-122.4316,Wave Organ,2017-05-18 19:51:00,37.8021,-122.4188,Lombard Street,19.32,USD,42.64
San Francisco,UberComfort,unfulfilled,2017-05-03 19:07:00,2017-05-03 19:14:00,37.8024,-122.4058,Coit Tower,2017-05-03 19:45:00,37.7596,-122.4269,Mission Dolores Park,12.0,USD,23.0
San Francisco,UberSUV,completed,2017-07-18 13:13:00,2017-07-18 13:17:00,37.7802,-122.512,Land's End Lookout,2017-07-18 13:38:00,37.7596,-122.4269,Mission Dolores Park,14.95,USD,33.9
Los Angeles,UberPool,rider_canceled,2017-06-03 05:15:00,2017-06-03 05:22:00,34.1341,-118.3215,Hollywood Sign,2017-06-03 06:05:00,34.0718,-118.3571,The Grove,9.36,USD,19.04
London,UberBlack,completed,2017-04-08 23:14:00,2017-04-08 23:42:00,51.5014,-0.1419,Buckingham Palace,2017-04-08 23:54:00,51.5308,-0.1238,King's Cross Station,6.69,GBP,21.73
San Francisco,UberPool,completed,2017-12-24 13:08:00,2017-12-24 13:16:00,37.7955,-122.3937,Ferry Building Marketplace,2017-12-24 14:15:00,37.8086,-122.4316,Wave Organ,3.03,USD,10.06
New York,UberSUV,completed,2017-08-17 09:57:00,2017-08-17 10:24:00,40.7127,-74.0134,One World Trade Center,2017-08-17 11:24:00,40.7506,-73.9935,Penn Station,6.05,USD,16.1
Manchester,UberPet,completed,2017-06-06 15:09:00,2017-06-06 15:22:00,53.47944,-2.245,Manchester Town Hall (Albert Sq),2017-06-06 15:46:00,53.4774,-2.2303,Manchester Piccadilly,8.64,GBP,26.6
San Francisco,UberComfort,completed,2017-03-28 13:37:00,2017-03-28 14:04:00,37.8087,-122.4098,Pier 39,2017-03-28 14:45:00,37.8024,-122.4058,Coit Tower,6.33,USD,16.66
Los Angeles,UberPet,completed,2017-04-02 23:42:00,2017-04-02 23:54:00,34.0094,-118.4973,Santa Monica Pier,2017-04-03 00:29:00,34.0718,-118.3571,The Grove,9.31,USD,22.62
Los Angeles,UberPool,completed,2017-02-23 22:05:00,2017-02-23 22:35:00,34.078,-118.4741,Getty Center,2017-02-23 23:27:00,34.0562,-118.2365,Union Station,13.03,USD,30.06
Mumbai,UberSUV,completed,2017-12-25 00:34:00,2017-12-25 00:51:00,18.9218,72.8347,Gateway of India,2017-12-25 01:31:00,19.0169,72.8258,Bandra–Worli Sea Link (Worli end),3.69,INR,170.7
San Francisco,UberPet,completed,2017-10-11 20:01:00,2017-10-11 20:19:00,37.8339,-122.4993,Hawk Hill Park,2017-10-11 20:51:00,37.8058,-122.4228,Ghirardelli Square,14.48,USD,32.96
Singapore,UberSUV,completed,2017-04-25 06:48:00,2017-04-25 07:01:00,1.286833,103.854528,Merlion Park,2017-04-25 07:35:00,1.3048,103.8318,Orchard Road (ION Orchard),11.1,SGD,23.58
Manchester,UberX,completed,2017-11-03 09:36:00,2017-11-03 09:58:00,53.4856,-2.2449,Manchester Cathedral,2017-11-03 10:33:00,53.4774,-2.2303,Manchester Piccadilly,4.68,GBP,16.7
Mumbai,UberX,completed,2017-01-02 18:13:00,2017-01-02 18:23:00,19.0169,72.83,Siddhivinayak Temple,2017-01-02 19:22:00,19.0965,72.8745,Mumbai Airport T2,5.44,INR,223.2
Delhi,UberBlack,completed,2017-04-15 03:58:00,2017-04-15 04:28:00,28.6562,77.241,Red Fort (Lal Qila),2017-04-15 05:07:00,28.6315,77.2167,Connaught Place (CP),19.13,INR,633.9
New York,UberSUV,completed,2017-10-27 19:54:00,2017-10-27 20:03:00,40.7506,-73.9935,Penn Station,2017-10-27 20:38:00,40.7484,-73.9857,Empire State Building,17.56,USD,39.12
London,UberXL,rider_canceled,2017-02-06 05:17:00,2017-02-06 05:30:00,51.5054,-0.0235,Canary Wharf Station,2017-02-06 06:20:00,51.5308,-0.1238,King's Cross Station,14.35,GBP,26.52
New York,UberBlack,completed,2017-06-17 00:47:00,2017-06-17 01:11:00,40.758,-73.9855,Times Square,2017-06-17 01:16:00,40.7527,-73.9772,Grand Central Terminal,2.4,USD,8.8
San Francisco,UberSUV,unfulfilled,2017-10-14 04:57:00,2017-10-14 04:59:00,37.7694,-122.4862,Golden Gate Park,2017-10-14 05:40:00,37.7648,-122.4223,Clarion Alley (Mission District),8.93,USD,18.39
Bangalore,UberPet,rider_canceled,2017-05-20 05:26:00,2017-05-20 05:37:00,13.0465,77.6216,Manyata Tech Park,2017-05-20 05:58:00,12.9763,77.5929,Cubbon Park,11.43,INR,22.14
Los Angeles,UberPool,completed,2017-03-13 14:28:00,2017-03-13 14:54:00,33.9416,-118.4085,LAX – Terminal 4,2017-03-13 15:44:00,34.043,-118.2673,Crypto.com Arena,9.01,USD,22.02
New York,UberSUV,completed,2017-01-16 18:21:00,2017-01-16 18:48:00,40.7127,-74.0134,One World Trade Center,2017-01-16 19:48:00,40.7484,-73.9857,Empire State Building,17.08,USD,38.16
Bangalore,UberSUV,unfulfilled,2017-09-22 08:20:00,2017-09-22 08:41:00,13.0034,77.589,Bangalore Palace,2017-09-22 09:25:00,13.0465,77.6216,Manyata Tech Park,18.3,INR,32.45
London,UberPool,completed,2017-09-24 18:46:00,2017-09-24 18:56:00,51.5014,-0.1419,Buckingham Palace,2017-09-24 19:22:00,51.50806,-0.07611,Tower of London,9.71,GBP,29.28
Los Angeles,UberSelect,completed,2017-07-01 15:44:00,2017-07-01 15:55:00,34.1184,-118.3004,Griffith Observatory,2017-07-01 16:48:00,34.043,-118.2673,Crypto.com Arena,18.47,USD,40.94
Delhi,UberComfort,completed,2017-05-04 04:42:00,2017-05-04 05:06:00,28.5245,77.1855,Qutub Minar,2017-05-04 05:32:00,28.6562,77.241,Red Fort (Lal Qila),13.9,INR,477.0
San Francisco,UberSelect,completed,2017-08-11 12:06:00,2017-08-11 12:30:00,37.8058,-122.4228,Ghirardelli Square,2017-08-11 12:35:00,37.8014,-122.3977,Exploratorium (Pier 15),3.67,USD,11.34
London,UberXL,completed,2017-03-23 17:14:00,2017-03-23 17:32:00,51.5033,-0.1194,London Eye,2017-03-23 17:43:00,51.5014,-0.1419,Buckingham Palace,2.78,GBP,11.95
Mumbai,UberBlack,rider_canceled,2017-12-25 08:31:00,2017-12-25 08:35:00,19.1076,72.8267,Juhu Beach,2017-12-25 08:51:00,19.0169,72.83,Siddhivinayak Temple,2.12,INR,8.18
Manchester,UberPet,driver_canceled,2017-04-07 23:13:00,2017-04-07 23:32:00,53.4687,-2.3476,The Trafford Centre,2017-04-08 00:17:00,53.4774,-2.2303,Manchester Piccadilly,14.38,GBP,26.57
San Francisco,UberSelect,completed,2017-07-17 18:08:00,2017-07-17 18:10:00,37.7715,-122.4687,de Young Museum,2017-07-17 18:29:00,37.7989,-122.4662,The Presidio,9.45,USD,22.9
London,UberPet,completed,2017-12-07 03:32:00,2017-12-07 03:47:00,51.5033,-0.1194,London Eye,2017-12-07 04:42:00,51.5014,-0.1419,Buckingham Palace,15.75,GBP,44.38
Mumbai,UberBlack,completed,2017-05-21 12:30:00,2017-05-21 12:36:00,18.9543,72.812,Marine Drive (Girgaum Chowpatty),2017-05-21 13:17:00,19.0169,72.83,Siddhivinayak Temple,12.63,INR,438.9
Los Angeles,UberSelect,completed,2017-09-13 17:08:00,2017-09-13 17:18:00,34.0718,-118.3571,The Grove,2017-09-13 18:18:00,34.1184,-118.3004,Griffith Observatory,8.84,USD,21.68
Los Angeles,UberXL,driver_canceled,2017-09-11 06:54:00,2017-09-11 07:02:00,34.0094,-118.4973,Santa Monica Pier,2017-09-11 07:26:00,34.0562,-118.2365,Union Station,18.94,USD,33.41
Mumbai,UberPet,rider_canceled,2017-04-19 10:12:00,2017-04-19 10:38:00,19.0169,72.83,Siddhivinayak Temple,2017-04-19 11:14:00,19.0169,72.8258,Bandra–Worli Sea Link (Worli end),15.93,INR,28.89
Delhi,UberPool,completed,2017-07-15 20:30:00,2017-07-15 20:38:00,28.5245,77.1855,Qutub Minar,2017-07-15 21:19:00,28.6129,77.2295,India Gate,5.84,INR,235.2
San Francisco,UberSUV,rider_canceled,2017-04-02 18:14:00,2017-04-02 18:30:00,37.7989,-122.4662,The Presidio,2017-04-02 19:28:00,37.7715,-122.4687,de Young Museum,19.99,USD,34.98
Sydney,UberSUV,completed,2017-03-20 19:24:00,2017-03-20 19:42:00,-33.873235,151.206323,Sydney Town Hall,2017-03-20 19:58:00,-33.883,151.207,Central Station,5.19,AUD,15.82
London,UberX,rider_canceled,2017-01-05 20:54:00,2017-01-05 21:17:00,51.5054,-0.0235,Canary Wharf Station,2017-01-05 22:05:00,51.5136,-0.159,Hyde Park - Speaker's Corner,17.2,GBP,30.8
Singapore,UberBlack,completed,2017-03-10 23:13:00,2017-03-10 23:26:00,1.2834,103.8607,Marina Bay Sands,2017-03-11 00:02:00,1.2494,103.8303,Sentosa Beach Station,8.83,SGD,19.49
San Francisco,UberSelect,completed,2017-05-03 19:53:00,2017-05-03 20:18:00,37.7544,-122.4477,Twin Peaks,2017-05-03 21:16:00,37.7561,-122.473,16th Avenue Tiled Steps,18.46,USD,40.92
New York,UberPet,rider_canceled,2017-10-24 20:18:00,2017-10-24 20:28:00,40.7484,-73.9857,Empire State Building,2017-10-24 21:10:00,40.774,-73.97,Central Park - Bethesda Terrace,12.37,USD,23.55
San Francisco,UberPool,completed,2017-11-04 13:26:00,2017-11-04 13:32:00,37.8014,-122.3977,Exploratorium (Pier 15),2017-11-04 13:38:00,37.7726,-122.4604,Conservatory of Flowers,4.8,USD,13.6
San Francisco,UberPet,completed,2017-09-04 03:12:00,2017-09-04 03:14:00,37.8024,-122.4483,Palace of Fine Arts,2017-09-04 03:57:00,37.7715,-122.4687,de Young Museum,11.66,USD,27.32
London,UberXL,unfulfilled,2017-08-15 04:24:00,2017-08-15 04:40:00,51.5033,-0.1194,London Eye,2017-08-15 05:25:00,51.5308,-0.1238,King's Cross Station,16.92,GBP,30.38
Delhi,UberX,driver_canceled,2017-06-22 14:25:00,2017-06-22 14:42:00,28.6127,77.2773,Akshardham Temple,2017-06-22 15:41:00,28.6562,77.241,Red Fort (Lal Qila),2.63,INR,8.95
Delhi,UberComfort,rider_canceled,2017-12-19 18:39:00,2017-12-19 18:41:00,28.6562,77.241,Red Fort (Lal Qila),2017-12-19 18:50:00,28.6127,77.2773,Akshardham Temple,6.52,INR,14.78
San Francisco,UberX,driver_canceled,2017-01-15 16:53:00,2017-01-15 16:57:00,37.7561,-122.473,16th Avenue Tiled Steps,2017-01-15 17:20:00,37.8014,-122.3977,Exploratorium (Pier 15),7.62,USD,16.43
Singapore,UberSUV,completed,2017-08-16 23:00:00,2017-08-16 23:17:00,1.3564,103.9885,Changi Airport T3,2017-08-17 00:00:00,1.3048,103.8318,Orchard Road (ION Orchard),17.39,SGD,34.9
San Francisco,UberXL,unfulfilled,2017-07-28 21:07:00,2017-07-28 21:35:00,37.7802,-122.513,Sutro Baths,2017-07-28 22:12:00,37.808,-122.4177,Fisherman's Wharf,19.42,USD,34.13
London,UberBlack,completed,2017-03-28 18:32:00,2017-03-28 18:48:00,51.5033,-0.1194,London Eye,2017-03-28 19:23:00,51.5308,-0.1238,King's Cross Station,18.31,GBP,50.77
San Francisco,UberSelect,completed,2017-04-09 18:04:00,2017-04-09 18:06:00,37.7955,-122.3937,Ferry Building Marketplace,2017-04-09 18:56:00,37.8008,-122.4098,North Beach (Little Italy),14.11,USD,32.22
San Francisco,UberBlack,completed,2017-04-14 19:20:00,2017-04-14 19:27:00,37.7561,-122.473,16th Avenue Tiled Steps,2017-04-14 19:56:00,37.7955,-122.3937,Ferry Building Marketplace,18.14,USD,40.28
San Francisco,UberComfort,completed,2017-06-22 01:42:00,2017-06-22 01:59:00,37.7857,-122.4011,SFMOMA,2017-06-22 02:45:00,37.7955,-122.3937,Ferry Building Marketplace,17.71,USD,39.42
Bangalore,UberSUV,completed,2017-06-03 05:04:00,2017-06-03 05:08:00,12.9507,77.5848,Lalbagh Botanical Garden,2017-06-03 05:20:00,12.8443,77.6637,Electronic City Phase 1,16.28,INR,548.4
New York,UberComfort,rider_canceled,2017-06-14 05:00:00,2017-06-14 05:03:00,40.774,-73.97,Central Park - Bethesda Terrace,2017-06-14 05:29:00,40.7061,-73.9969,Brooklyn Bridge (Manhattan side),5.99,USD,13.98
San Francisco,UberComfort,completed,2017-09-23 23:13:00,2017-09-23 23:42:00,37.7857,-122.4011,SFMOMA,2017-09-24 00:31:00,37.7699,-122.4661,California Academy of Sciences,13.57,USD,31.14
San Francisco,UberSUV,completed,2017-07-08 05:56:00,2017-07-08 06:20:00,37.7802,-122.512,Land's End Lookout,2017-07-08 06:48:00,37.8339,-122.4993,Hawk Hill Park,9.8,USD,23.6
San Francisco,UberSelect,completed,2017-05-12 14:56:00,2017-05-12 15:20:00,37.8008,-122.4098,North Beach (Little Italy),2017-05-12 16:03:00,37.81972,-122.47861,Golden Gate Bridge,7.5,USD,19.0
San Francisco,UberXL,completed,2017-07-18 07:09:00,2017-07-18 07:30:00,37.7955,-122.3937,Ferry Building Marketplace,2017-07-18 07:49:00,37.7561,-122.473,16th Avenue Tiled Steps,14.72,USD,33.44
San Francisco,UberSelect,driver_canceled,2017-05-25 04:37:00,2017-05-25 05:05:00,37.7701,-122.4701,Japanese Tea Garden,2017-05-25 05:44:00,37.7802,-122.513,Sutro Baths,4.48,USD,11.72
London,UberSelect,completed,2017-01-08 17:52:00,2017-01-08 18:14:00,51.5054,-0.0235,Canary Wharf Station,2017-01-08 18:58:00,51.5033,-0.1194,London Eye,4.89,GBP,17.23
San Francisco,UberComfort,completed,2017-03-20 09:20:00,2017-03-20 09:38:00,37.7694,-122.4862,Golden Gate Park,2017-03-20 09:54:00,37.7955,-122.3937,Ferry Building Marketplace,17.79,USD,39.58
San Francisco,UberX,completed,2017-09-07 09:49:00,2017-09-07 10:06:00,37.7648,-122.4223,Clarion Alley (Mission District),2017-09-07 10:28:00,37.8058,-122.4228,Ghirardelli Square,14.74,USD,33.48
Bangalore,UberBlack,completed,2017-03-12 00:38:00,2017-03-12 00:55:00,12.8443,77.6637,Electronic City Phase 1,2017-03-12 01:22:00,12.9758,77.6047,MG Road Metro Station,15.38,INR,521.4
San Francisco,UberPool,rider_canceled,2017-09-04 18:23:00,2017-09-04 18:39:00,37.7955,-122.3937,Ferry Building Marketplace,2017-09-04 19:35:00,37.7857,-122.4011,SFMOMA,6.46,USD,14.69
Singapore,UberComfort,completed,2017-03-23 16:49:00,2017-03-23 16:54:00,1.286833,103.854528,Merlion Park,2017-03-23 17:26:00,1.3048,103.8318,Orchard Road (ION Orchard),12.01,SGD,25.22
Manchester,UberPool,completed,2017-06-22 15:33:00,2017-06-22 15:36:00,53.4774,-2.2303,Manchester Piccadilly,2017-06-22 16:34:00,53.4631,-2.2913,Old Trafford,19.33,GBP,53.32
London,UberBlack,completed,2017-08-26 11:19:00,2017-08-26 11:41:00,51.50806,-0.07611,Tower of London,2017-08-26 12:34:00,51.5136,-0.159,Hyde Park - Speaker's Corner,3.87,GBP,14.68
London,UberPool,completed,2017-03-04 16:25:00,2017-03-04 16:38:00,51.50806,-0.07611,Tower of London,2017-03-04 16:48:00,51.5136,-0.159,Hyde Park - Speaker's Corner,15.55,GBP,43.88
New York,UberPool,completed,2017-05-15 17:28:00,2017-05-15 17:54:00,40.774,-73.97,Central Park - Bethesda Terrace,2017-05-15 18:21:00,40.7061,-73.9969,Brooklyn Bridge (Manhattan side),18.73,USD,41.46
Delhi,UberPet,completed,2017-04-06 04:36:00,2017-04-06 04:52:00,28.6315,77.2167,Connaught Place (CP),2017-04-06 05:52:00,28.5245,77.1855,Qutub Minar,16.34,INR,550.2
San Francisco,UberBlack,completed,2017-06-12 10:22:00,2017-06-12 10:35:00,37.784,-122.4075,Cable Car Turnaround (Powell & Market),2017-06-12 11:19:00,37.8087,-122.4098,Pier 39,7.23,USD,18.46
Singapore,UberX,completed,2017-10-24 00:09:00,2017-10-24 00:34:00,1.2992,103.8556,Bugis Junction,2017-10-24 00:49:00,1.2906,103.8465,Clarke Quay,18.3,SGD,36.54
San Francisco,UberXL,completed,2017-09-12 17:16:00,2017-09-12 17:26:00,37.7544,-122.4477,Twin Peaks,2017-09-12 17:44:00,37.7901,-122.4058,Chinatown Dragon Gate,8.45,USD,20.9
San Francisco,UberXL,completed,2017-12-12 14:41:00,2017-12-12 14:59:00,37.808,-122.4177,Fisherman's Wharf,2017-12-12 15:32:00,37.7802,-122.416,Asian Art Museum,10.33,USD,24.66
San Francisco,UberPet,completed,2017-07-11 15:52:00,2017-07-11 15:55:00,37.81972,-122.47861,Golden Gate Bridge,2017-07-11 16:53:00,37.7764,-122.4346,Painted Ladies (Alamo Square),11.2,USD,26.4
Los Angeles,UberComfort,completed,2017-11-09 00:07:00,2017-11-09 00:19:00,34.1184,-118.3004,Griffith Observatory,2017-11-09 00:59:00,34.078,-118.4741,Getty Center,12.85,USD,29.7
Los Angeles,UberComfort,completed,2017-07-22 02:45:00,2017-07-22 02:48:00,34.0718,-118.3571,The Grove,2017-07-22 03:28:00,34.0562,-118.2365,Union Station,11.98,USD,27.96
San Francisco,UberComfort,rider_canceled,2017-02-27 00:58:00,2017-02-27 01:05:00,37.788,-122.4075,Union Square,2017-02-27 01:34:00,37.7955,-122.3937,Ferry Building Marketplace,14.8,USD,27.2
London,UberSUV,completed,2017-04-10 05:16:00,2017-04-10 05:27:00,51.5308,-0.1238,King's Cross Station,2017-04-10 05:52:00,51.5033,-0.1194,London Eye,5.31,GBP,18.27
Manchester,UberComfort,rider_canceled,2017-08-07 08:20:00,2017-08-07 08:32:00,53.4687,-2.3476,The Trafford Centre,2017-08-07 08:53:00,53.4856,-2.2449,Manchester Cathedral,12.38,GBP,23.57
Sydney,UberPet,completed,2017-12-08 18:26:00,2017-12-08 18:39:00,-33.8908,151.2743,Bondi Beach,2017-12-08 19:07:00,-33.873235,151.206323,Sydney Town Hall,8.76,AUD,23.67
San Francisco,UberX,completed,2017-08-13 14:25:00,2017-08-13 14:47:00,37.7764,-122.4346,Painted Ladies (Alamo Square),2017-08-13 15:31:00,37.8058,-122.4228,Ghirardelli Square,8.19,USD,20.38
San Francisco,UberBlack,completed,2017-07-19 17:06:00,2017-07-19 17:29:00,37.7764,-122.4346,Painted Ladies (Alamo Square),2017-07-19 18:17:00,37.7694,-122.4862,Golden Gate Park,9.34,USD,22.68
London,UberBlack,driver_canceled,2017-05-19 13:36:00,2017-05-19 13:59:00,51.5014,-0.1419,Buckingham Palace,2017-05-19 14:10:00,51.5033,-0.1194,London Eye,3.09,GBP,9.63
New York,UberSUV,completed,2017-01-13 00:07:00,2017-01-13 00:20:00,40.7061,-73.9969,Brooklyn Bridge (Manhattan side),2017-01-13 01:15:00,40.7127,-74.0134,One World Trade Center,4.12,USD,12.24
Los Angeles,UberXL,completed,2017-06-28 14:29:00,2017-06-28 14:43:00,34.043,-118.2673,Crypto.com Arena,2017-06-28 15:02:00,34.1341,-118.3215,Hollywood Sign,15.73,USD,35.46
San Francisco,UberX,completed,2017-11-22 02:17:00,2017-11-22 02:27:00,37.8008,-122.4098,North Beach (Little Italy),2017-11-22 03:25:00,37.8339,-122.4993,Hawk Hill Park,5.41,USD,14.82
San Francisco,UberPet,completed,2017-01-06 21:12:00,2017-01-06 21:24:00,37.7802,-122.416,Asian Art Museum,2017-01-06 21:57:00,37.788,-122.4075,Union Square,4.74,USD,13.48
Mumbai,UberComfort,unfulfilled,2017-02-25 07:40:00,2017-02-25 07:47:00,19.1076,72.8267,Juhu Beach,2017-02-25 08:38:00,18.9543,72.812,Marine Drive (Girgaum Chowpatty),17.55,INR,31.33
Delhi,UberXL,completed,2017-10-06 13:44:00,2017-10-06 14:09:00,28.6315,77.2167,Connaught Place (CP),2017-10-06 14:32:00,28.5494,77.2001,Hauz Khas Village,11.41,INR,402.3
San Francisco,UberSUV,completed,2017-07-23 05:30:00,2017-07-23 05:54:00,37.7596,-122.4269,Mission Dolores Park,2017-07-23 05:59:00,37.7901,-122.4058,Chinatown Dragon Gate,14.42,USD,32.84
